Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
105CHE6WT_S325_L001_R1_001	105CHE6WT_S325_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1000.0	0.0	135-301	59.0	62.5	300.64	pass	fail	pass	pass	fail	fail	pass	warn	warn	fail	pass
105CHE6WT_S325_L001_R2_001	105CHE6WT_S325_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1000.0	0.0	135-301	61.0	23.1	300.464	pass	fail	pass	warn	fail	fail	pass	warn	fail	fail	pass
106CHE6WT_S336_L001_R1_001	106CHE6WT_S336_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1000.0	0.0	135-301	58.0	68.5	300.484	pass	fail	pass	pass	fail	fail	pass	warn	warn	fail	pass
106CHE6WT_S336_L001_R2_001	106CHE6WT_S336_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1000.0	0.0	135-301	60.0	25.7	300.276	pass	fail	pass	warn	fail	fail	pass	warn	fail	fail	pass
107CHE6KO_S347_L001_R1_001	107CHE6KO_S347_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1000.0	0.0	298-301	60.0	58.9	300.892	pass	fail	pass	pass	fail	fail	pass	warn	warn	fail	pass
107CHE6KO_S347_L001_R2_001	107CHE6KO_S347_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1000.0	0.0	135-301	61.0	20.599999999999998	300.68	pass	fail	pass	warn	fail	fail	pass	warn	fail	fail	pass
108CHE6KO_S358_L001_R1_001	108CHE6KO_S358_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1000.0	0.0	298-301	59.0	62.2	300.914	pass	fail	pass	pass	fail	warn	pass	warn	warn	fail	pass
108CHE6KO_S358_L001_R2_001	108CHE6KO_S358_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1000.0	0.0	297-301	60.0	24.5	300.647	pass	fail	pass	warn	fail	fail	pass	warn	fail	fail	pass
109CHE6WT_S369_L001_R1_001	109CHE6WT_S369_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1000.0	0.0	135-301	59.0	54.800000000000004	300.796	pass	fail	pass	pass	fail	fail	pass	warn	warn	fail	pass
109CHE6WT_S369_L001_R2_001	109CHE6WT_S369_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1000.0	0.0	135-301	61.0	21.6	300.572	pass	fail	pass	warn	fail	fail	pass	warn	fail	fail	pass
110CHE6WT_S292_L001_R1_001	110CHE6WT_S292_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1000.0	0.0	135-301	59.0	55.300000000000004	300.812	pass	fail	pass	pass	fail	fail	pass	warn	warn	fail	pass
110CHE6WT_S292_L001_R2_001	110CHE6WT_S292_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1000.0	0.0	135-301	60.0	23.3	300.668	pass	fail	pass	warn	fail	fail	pass	warn	fail	fail	pass
111CHE6KO_S303_L001_R1_001	111CHE6KO_S303_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1000.0	0.0	297-301	59.0	59.199999999999996	300.932	pass	fail	pass	pass	fail	warn	pass	warn	warn	fail	pass
111CHE6KO_S303_L001_R2_001	111CHE6KO_S303_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1000.0	0.0	296-301	61.0	23.1	300.666	pass	fail	pass	pass	fail	fail	pass	warn	fail	fail	pass
112CHE6KO_S314_L001_R1_001	112CHE6KO_S314_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1000.0	0.0	135-301	60.0	55.60000000000001	300.504	pass	fail	pass	pass	fail	fail	pass	warn	warn	fail	pass
112CHE6KO_S314_L001_R2_001	112CHE6KO_S314_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1000.0	0.0	135-301	62.0	21.7	300.376	pass	fail	pass	warn	fail	fail	pass	warn	fail	fail	pass
113CHE6WT_S326_L001_R1_001	113CHE6WT_S326_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1000.0	0.0	298-301	58.0	62.4	300.911	pass	fail	pass	pass	fail	warn	pass	warn	warn	fail	pass
113CHE6WT_S326_L001_R2_001	113CHE6WT_S326_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1000.0	0.0	297-301	59.0	24.2	300.615	pass	fail	pass	warn	fail	fail	pass	warn	fail	fail	pass
114CHE6WT_S337_L001_R1_001	114CHE6WT_S337_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1000.0	0.0	298-301	58.0	58.9	300.925	pass	fail	pass	pass	fail	fail	pass	warn	warn	fail	pass
114CHE6WT_S337_L001_R2_001	114CHE6WT_S337_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1000.0	0.0	296-301	59.0	25.3	300.633	pass	fail	pass	warn	fail	fail	pass	warn	fail	fail	pass
115CHE6KO_S348_L001_R1_001	115CHE6KO_S348_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1000.0	0.0	135-301	59.0	56.599999999999994	300.82	pass	fail	pass	pass	fail	fail	pass	warn	warn	fail	pass
115CHE6KO_S348_L001_R2_001	115CHE6KO_S348_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1000.0	0.0	135-301	59.0	23.599999999999998	300.632	pass	fail	pass	warn	fail	fail	pass	warn	fail	fail	pass
116CHE6KO_S359_L001_R1_001	116CHE6KO_S359_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1000.0	0.0	135-301	58.0	56.00000000000001	300.8	pass	fail	pass	pass	fail	fail	pass	warn	warn	fail	pass
116CHE6KO_S359_L001_R2_001	116CHE6KO_S359_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1000.0	0.0	135-301	59.0	23.1	300.676	pass	fail	pass	warn	fail	fail	pass	warn	fail	fail	pass
35CMK6KO_S246_L001_R1_001	35CMK6KO_S246_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1000.0	0.0	135-301	59.0	53.1	300.828	pass	fail	pass	pass	fail	fail	pass	warn	warn	fail	pass
