Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
105CHE6WT_S325_L001_R1_001	37.5	59.0	300.64	36.36363636363637	1000.0
105CHE6WT_S325_L001_R2_001	76.9	61.0	300.464	45.45454545454545	1000.0
106CHE6WT_S336_L001_R1_001	31.5	58.0	300.484	36.36363636363637	1000.0
106CHE6WT_S336_L001_R2_001	74.3	60.0	300.276	45.45454545454545	1000.0
107CHE6KO_S347_L001_R1_001	41.1	60.0	300.892	36.36363636363637	1000.0
107CHE6KO_S347_L001_R2_001	79.4	61.0	300.68	45.45454545454545	1000.0
108CHE6KO_S358_L001_R1_001	37.8	59.0	300.914	27.27272727272727	1000.0
108CHE6KO_S358_L001_R2_001	75.5	60.0	300.647	45.45454545454545	1000.0
109CHE6WT_S369_L001_R1_001	45.199999999999996	59.0	300.796	36.36363636363637	1000.0
109CHE6WT_S369_L001_R2_001	78.4	61.0	300.572	45.45454545454545	1000.0
110CHE6WT_S292_L001_R1_001	44.699999999999996	59.0	300.812	36.36363636363637	1000.0
110CHE6WT_S292_L001_R2_001	76.7	60.0	300.668	45.45454545454545	1000.0
111CHE6KO_S303_L001_R1_001	40.800000000000004	59.0	300.932	27.27272727272727	1000.0
111CHE6KO_S303_L001_R2_001	76.9	61.0	300.666	45.45454545454545	1000.0
112CHE6KO_S314_L001_R1_001	44.39999999999999	60.0	300.504	36.36363636363637	1000.0
112CHE6KO_S314_L001_R2_001	78.3	62.0	300.376	45.45454545454545	1000.0
113CHE6WT_S326_L001_R1_001	37.6	58.0	300.911	27.27272727272727	1000.0
113CHE6WT_S326_L001_R2_001	75.8	59.0	300.615	45.45454545454545	1000.0
114CHE6WT_S337_L001_R1_001	41.1	58.0	300.925	36.36363636363637	1000.0
114CHE6WT_S337_L001_R2_001	74.7	59.0	300.633	45.45454545454545	1000.0
115CHE6KO_S348_L001_R1_001	43.400000000000006	59.0	300.82	36.36363636363637	1000.0
115CHE6KO_S348_L001_R2_001	76.4	59.0	300.632	45.45454545454545	1000.0
116CHE6KO_S359_L001_R1_001	43.99999999999999	58.0	300.8	36.36363636363637	1000.0
116CHE6KO_S359_L001_R2_001	76.9	59.0	300.676	45.45454545454545	1000.0
35CMK6KO_S246_L001_R1_001	46.9	59.0	300.828	36.36363636363637	1000.0
35CMK6KO_S246_L001_R2_001	76.1	61.0	300.636	45.45454545454545	1000.0
36CMK6WT_S258_L001_R1_001	53.699999999999996	60.0	300.808	45.45454545454545	1000.0
36CMK6WT_S258_L001_R2_001	79.2	61.0	300.66	45.45454545454545	1000.0
37CMK6WT_S270_L001_R1_001	41.6	59.0	300.698	36.36363636363637	1000.0
37CMK6WT_S270_L001_R2_001	74.7	61.0	300.411	45.45454545454545	1000.0
38CMK6KO_S282_L001_R1_001	42.800000000000004	59.0	300.925	27.27272727272727	1000.0
38CMK6KO_S282_L001_R2_001	76.9	60.0	300.677	45.45454545454545	1000.0
39CMK6KO_S199_L001_R1_001	41.0	59.0	300.816	27.27272727272727	1000.0
39CMK6KO_S199_L001_R2_001	74.5	59.0	300.592	45.45454545454545	1000.0
40CMK6WT_S211_L001_R1_001	46.699999999999996	59.0	300.719	36.36363636363637	1000.0
40CMK6WT_S211_L001_R2_001	76.1	61.0	300.688	36.36363636363637	1000.0
75CMK8KO_S251_L001_R1_001	50.0	59.0	300.896	36.36363636363637	1000.0
75CMK8KO_S251_L001_R2_001	75.4	60.0	300.613	45.45454545454545	1000.0
76CMK8WT_S263_L001_R1_001	44.3	60.0	300.593	36.36363636363637	1000.0
76CMK8WT_S263_L001_R2_001	75.5	61.0	300.437	45.45454545454545	1000.0
77CMK8WT_S275_L001_R1_001	45.4	60.0	300.816	36.36363636363637	1000.0
77CMK8WT_S275_L001_R2_001	78.2	61.0	300.68	45.45454545454545	1000.0
78CMK8KO_S287_L001_R1_001	43.10000000000001	59.0	300.942	36.36363636363637	1000.0
78CMK8KO_S287_L001_R2_001	78.8	61.0	300.634	36.36363636363637	1000.0
79CMK8KO_S204_L001_R1_001	37.7	59.0	300.912	27.27272727272727	1000.0
79CMK8KO_S204_L001_R2_001	74.5	60.0	300.63	45.45454545454545	1000.0
80CMK8WT_S216_L001_R1_001	44.8	59.0	300.917	36.36363636363637	1000.0
80CMK8WT_S216_L001_R2_001	77.2	61.0	300.686	36.36363636363637	1000.0
